IssuerOrgName,IssuerComName,IssuerCountry,SubjectCountry,SubjectDetails,SubjectAltNames,SubjectValidity,Malicious
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,FI,5,0,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,161,0
Internet2,InCommon RSA Server CA,US,US,2,3,365,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,378,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,393,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Let's Encrypt,R3,US,None,0,25,90,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,135,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,394,0
Amazon,Amazon RSA 2048 M02,US,None,0,4,160,0
Let's Encrypt,R3,US,None,0,31,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,395,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,364,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,CH,2,0,396,0
Let's Encrypt,R3,US,None,0,1,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,121,397,0
Let's Encrypt,R3,US,None,0,1,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
GEANT Vereniging,GEANT OV RSA CA 4,NL,GB,2,0,365,0
"Cybertrust Japan Co., Ltd.",Cybertrust Japan SureServer CA G4,JP,JP,3,6,395,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Apple Inc.,Apple Public EV Server RSA CA 2 - G1,US,US,8,87,395,0
GlobalSign nv-sa,GlobalSign Organization Validation CA - SHA256 - G2,BE,RU,3,16,341,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,7,230,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,364,0
DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,US,US,3,6,364,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,180,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,DE,3,0,368,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,7,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,6,364,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,6,90,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,108,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,367,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,365,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,AU,3,95,364,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,396,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,132,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,US,US,3,5,396,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,E1,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,9,394,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,6,20,395,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,364,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,393,0
Amazon,Amazon RSA 2048 M01,US,None,0,2,135,0
DigiCert Inc,GeoTrust TLS DV RSA Mixed SHA256 2020 CA-1,US,None,0,0,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,3,298,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,237,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,99,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,364,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,10,355,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,11,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,0,84,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,GeoTrust RSA CA 2018,US,US,3,0,372,0
Let's Encrypt,R3,US,None,0,50,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,394,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,395,0
Amazon,Amazon RSA 2048 M02,US,None,0,3,293,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,GB,2,0,306,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 02,US,US,3,25,360,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,364,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,158,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
"DigiCert, Inc.",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,US,None,0,0,364,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,GB,3,0,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Let's Encrypt,R3,US,None,0,38,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,BE,2,0,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,RO,2,0,396,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,CA,3,0,395,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,335,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,319,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,3,364,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,16,180,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,395,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,18,365,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,1,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,394,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,394,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,US,7,4,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,1,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,103,0
"cPanel, Inc.","cPanel, Inc. Certification Authority",US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,1,396,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,365,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,62,365,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,19,394,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,253,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q4,BE,None,0,0,397,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
DigiCert Inc,DigiCert EV RSA CA G2,US,DE,9,2,392,0
Amazon,Amazon RSA 2048 M01,US,None,0,1,257,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,HK,2,76,366,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,179,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,AU,3,0,364,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,392,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,126,0
Google Trust Services LLC,GTS CA 1P5,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,12,357,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,0,393,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M02,US,None,0,74,394,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,0,388,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,173,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,FI,2,0,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,DE,3,0,367,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,12,396,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,SE,2,0,364,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,134,0
Amazon,Amazon RSA 2048 M01,US,None,0,3,394,0
GlobalSign nv-sa,AlphaSSL CA - SHA256 - G2,BE,None,0,0,397,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,127,397,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,NZ,2,0,396,0
Amazon,Amazon RSA 2048 M02,US,None,0,11,193,0
Let's Encrypt,R3,US,None,0,7,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,394,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,80,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,11,84,0
DigiCert Inc,DigiCert SHA2 Extended Validation Server CA,US,US,7,8,366,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,FR,3,60,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,10,394,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert Global CA G2,US,None,0,0,353,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,219,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,40,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,88,397,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,11,397,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,396,0
DigiCert Inc,DigiCert Cloud Services CA-1,US,US,3,21,364,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,CA,3,0,393,0
DigiCert Inc,GeoTrust TLS RSA CA G1,US,US,3,89,396,0
Let's Encrypt,R3,US,None,0,5,90,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,BE,3,0,397,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,237,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,94,331,0
GlobalSign nv-sa,GlobalSign GCC R3 DV TLS CA 2020,BE,None,0,0,397,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,BE,3,0,397,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,214,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,126,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,13,90,0
Amazon,Amazon RSA 2048 M02,US,None,0,9,250,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,1,396,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,US,3,0,237,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,53,396,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,9,396,0
Let's Encrypt,R3,US,None,0,7,90,0
DigiCert Inc,DigiCert Global G2 TLS RSA SHA256 2020 CA1,US,US,3,0,380,0
Let's Encrypt,R3,US,None,0,8,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,393,0
Amazon,Amazon RSA 2048 M02,US,None,0,1,104,0
Amazon,Amazon RSA 2048 M02,US,None,0,6,293,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,2,336,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,1,389,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,395,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,3,365,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,265,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo ECC Domain Validation Secure Server CA,GB,None,0,0,396,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,110,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,6,396,0
DigiCert Inc,GeoTrust RSA CA 2018,US,US,3,0,367,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
DigiCert Inc,DigiCert SHA2 High Assurance Server CA,US,US,3,9,84,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,JP,3,0,397,0
"DigiCert, Inc.",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,US,None,0,0,376,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,396,0
Let's Encrypt,R3,US,None,0,0,90,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,269,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,364,0
Let's Encrypt,R3,US,None,0,1,90,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,132,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,US,3,2,397,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,7,396,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,203,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,RU,3,0,397,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,231,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,10,375,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,382,0
Amazon,Amazon RSA 2048 M02,US,None,0,8,394,0
Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,GB,None,0,0,392,0
Google Trust Services LLC,GTS CA 1D4,US,None,0,2,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,0,372,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,42,367,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,132,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
Microsoft Corporation,Microsoft Azure TLS Issuing CA 06,US,US,3,0,360,0
Amazon,Amazon RSA 2048 M02,US,None,0,2,263,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,2,125,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,DK,2,0,367,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,0,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,2,394,0
GlobalSign nv-sa,AlphaSSL CA - SHA256 - G2,BE,None,0,0,397,0
Let's Encrypt,R3,US,None,0,0,90,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,AlphaSSL CA - SHA256 - G2,BE,None,0,0,397,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,US,3,44,397,0
DigiCert Inc,GeoTrust RSA CA 2018,US,US,3,38,368,0
Amazon,Amazon RSA 2048 M02,US,None,0,2,315,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,88,397,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Google Trust Services LLC,GTS CA 1C3,US,None,0,132,84,0
Amazon,Amazon RSA 2048 M01,US,None,0,0,241,0
DigiCert Inc,DigiCert TLS RSA SHA256 2020 CA1,US,US,3,4,396,0
DigiCert Inc,DigiCert Baltimore TLS RSA SHA256 2020 CA1,US,US,3,2,396,0
DigiCert Inc,DigiCert Cloud Services CA-1,US,US,3,21,364,0
Sectigo Limited,Sectigo RSA Organization Validation Secure Server CA,GB,US,3,0,365,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2022 Q3,BE,None,0,121,397,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,2,365,0
Let's Encrypt,R3,US,None,0,0,90,0
Actalis S.p.A.,Actalis Organization Validated Server CA G3,IT,CN,3,0,395,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
Let's Encrypt,R3,US,None,0,6,90,0
Amazon,Amazon RSA 2048 M01,US,None,0,30,364,0
GlobalSign nv-sa,GlobalSign RSA OV SSL CA 2018,BE,CA,3,19,395,0
"DigiCert, Inc.",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,US,None,0,0,384,0
GlobalSign nv-sa,GlobalSign Atlas R3 DV TLS CA 2023 Q1,BE,None,0,8,180,0
"Entrust, Inc.",Entrust Certification Authority - L1K,US,US,3,100,365,0
Amazon,Amazon RSA 2048 M01,US,None,0,32,394,0
Amazon,Amazon RSA 2048 M02,US,None,0,0,394,0
Let's Encrypt,R3,US,None,0,0,90,0
"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,US,US,3,0,365,0
QuoVadis Limited,QuoVadis Global SSL ICA G3,BM,DE,3,74,366,0
Let's Encrypt,R3,US,None,0,0,90,0
GlobalSign nv-sa,GlobalSign Extended Validation CA - SHA256 - G3,BE,GB,7,5,397,0
DigiCert Inc,GeoTrust RSA CA 2018,US,GB,2,0,355,0
"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,US,None,0,0,397,0
